ID,Genus,Treatment,Species,Spec#
Satanoperca_Pelagic_daemon_1,Satanoperca,Pelagic,daemon,1
Satanoperca_Pelagic_daemon_10,Satanoperca,Pelagic,daemon,10
Satanoperca_Pelagic_daemon_11,Satanoperca,Pelagic,daemon,11
Satanoperca_Pelagic_daemon_12,Satanoperca,Pelagic,daemon,12
Satanoperca_Pelagic_daemon_13,Satanoperca,Pelagic,daemon,13
Satanoperca_Pelagic_daemon_14,Satanoperca,Pelagic,daemon,14
Satanoperca_Pelagic_daemon_2,Satanoperca,Pelagic,daemon,2
Satanoperca_Pelagic_daemon_3,Satanoperca,Pelagic,daemon,3
Satanoperca_Pelagic_daemon_4,Satanoperca,Pelagic,daemon,4
Satanoperca_Pelagic_daemon_5,Satanoperca,Pelagic,daemon,5
Satanoperca_Pelagic_daemon_6,Satanoperca,Pelagic,daemon,6
Satanoperca_Pelagic_daemon_7,Satanoperca,Pelagic,daemon,7
Satanoperca_Pelagic_daemon_8,Satanoperca,Pelagic,daemon,8
Satanoperca_Pelagic_daemon_9,Satanoperca,Pelagic,daemon,9
Satanoperca_Rock_daemon_1,Satanoperca,Rock,daemon,1
Satanoperca_Rock_daemon_10,Satanoperca,Rock,daemon,10
Satanoperca_Rock_daemon_11,Satanoperca,Rock,daemon,11
Satanoperca_Rock_daemon_12,Satanoperca,Rock,daemon,12
Satanoperca_Rock_daemon_2,Satanoperca,Rock,daemon,2
Satanoperca_Rock_daemon_3,Satanoperca,Rock,daemon,3
Satanoperca_Rock_daemon_4,Satanoperca,Rock,daemon,4
Satanoperca_Rock_daemon_5,Satanoperca,Rock,daemon,5
Satanoperca_Rock_daemon_6,Satanoperca,Rock,daemon,6
Satanoperca_Rock_daemon_7,Satanoperca,Rock,daemon,7
Satanoperca_Rock_daemon_8,Satanoperca,Rock,daemon,8
Satanoperca_Rock_daemon_9,Satanoperca,Rock,daemon,9
Satanoperca_Sand_daemon_1,Satanoperca,Sand,daemon,1
Satanoperca_Sand_daemon_10,Satanoperca,Sand,daemon,10
Satanoperca_Sand_daemon_12,Satanoperca,Sand,daemon,12
Satanoperca_Sand_daemon_13,Satanoperca,Sand,daemon,13
Satanoperca_Sand_daemon_14,Satanoperca,Sand,daemon,14
Satanoperca_Sand_daemon_15,Satanoperca,Sand,daemon,15
Satanoperca_Sand_daemon_16,Satanoperca,Sand,daemon,16
Satanoperca_Sand_daemon_17,Satanoperca,Sand,daemon,17
Satanoperca_Sand_daemon_18,Satanoperca,Sand,daemon,18
Satanoperca_Sand_daemon_2,Satanoperca,Sand,daemon,2
Satanoperca_Sand_daemon_3,Satanoperca,Sand,daemon,3
Satanoperca_Sand_daemon_4,Satanoperca,Sand,daemon,4
Satanoperca_Sand_daemon_5,Satanoperca,Sand,daemon,5
Satanoperca_Sand_daemon_6,Satanoperca,Sand,daemon,6
Satanoperca_Sand_daemon_7,Satanoperca,Sand,daemon,7
Satanoperca_Sand_daemon_8,Satanoperca,Sand,daemon,8
Satanoperca_Sand_daemon_9,Satanoperca,Sand,daemon,9
